"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated"
"MSN",0.145250883526103,16.6002190090906,2.98101549335477,0.00453340047541626,0.0726099642812504,-2.19515857813987,0.456660584140908,"MSN",0.0487953594945911,0.99999999892378,2.34357591416852,"yes"
"ESYT1",0.14521624827146,13.3007029951959,2.10499345951061,0.0406469538822675,0.230848176113177,-4.08911893452268,0.628070311997978,"ESYT1",0.155134627232173,0.99999999892378,1.39097199525297,"no"
"AK1",0.145089326843191,18.4955631530015,0.680830768218186,0.499308270159337,0.771852945238267,-5.92601500078227,0.904141755193872,"AK1",0.518700736361409,0.99999999892378,0.301631240564519,"no"
"BPHL",0.145072028328789,12.3040450217192,1.33220515263963,0.189195632511359,0.496887158406832,-5.30175011981203,0.785416512506735,"BPHL",0.333918185509534,0.99999999892378,0.723088893294212,"no"
"CD9",0.144559497387931,17.280054624543,1.32891788885936,0.190269804913989,0.497774816304021,-5.30585662021033,0.786730651770471,"CD9",0.334514709507725,0.99999999892378,0.720630127108228,"no"
"AIMP2",0.144525440987193,14.2924430186982,1.62966983931193,0.109834225917529,0.377712652799356,-4.89204336171259,0.726711766576109,"AIMP2",0.253830515707326,0.99999999892378,0.9592623064165,"no"
"MYORG",0.144261058332606,10.2226004578338,0.951884076053432,0.34747633386141,0.649238023669763,-5.57769407462033,0.858565410692891,"MYORG",0.436301037689732,0.99999999892378,0.459074769270709,"no"
"ADSL",0.144014309203337,15.0674502859782,1.4389189374748,0.156778518537282,0.449743750192023,-5.16338115081555,0.765790103059372,"ADSL",0.302236864985377,0.99999999892378,0.804713443691324,"no"
"COASY",0.143938252086652,13.2688453709553,1.95303312960932,0.056764458704315,0.27094691133202,-4.36471135665123,0.66170428848147,"COASY",0.182081785513411,0.99999999892378,1.24592349914428,"no"
"ACADVL",0.143508081341121,17.3436975533338,1.21225832349279,0.231452500890378,0.547846929447423,-5.44547675754484,0.810578618043035,"ACADVL",0.368164178773709,0.99999999892378,0.635538122217428,"no"
"MAP2K4",0.143504172619563,12.3828649821788,2.3454008477841,0.0232645987298845,0.170302537644901,-3.61906180748458,0.582926768008942,"MAP2K4",0.114446737847658,0.99999999892378,1.63330443382058,"no"
"HNRNPA3",0.143283764030837,13.7182251696589,2.54796001989237,0.0141530989315351,0.129947083501961,-3.19244581941775,0.543309187025069,"HNRNPA3",0.0873270592751028,0.99999999892378,1.84914845755929,"no"
"SYPL1",0.143264190954037,11.3650319865079,0.821037481001609,0.416725473123981,0.709639420564936,-5.71633394696767,0.882141237896027,"SYPL1",0.476891993829846,0.99999999892378,0.380149951668816,"no"
"TRIM54",0.143062806030681,13.3864982408615,1.81599970700318,0.0757310321630508,0.317559773694626,-4.59823655635173,0.691298756866522,"TRIM54",0.213406568531415,0.99999999892378,1.12072612399326,"no"
"SLC16A3",0.142950406813808,11.751912992902,0.820720486360378,0.416024352274437,0.70928338711248,-5.81597956632921,0.882171190709581,"SLC16A3",0.476652732173727,0.99999999892378,0.380881246900023,"no"
"TBC1D17",0.142829827352669,11.9799785488482,2.14618429956318,0.0370347897771515,0.219261933184362,-4.01148970135871,0.624532145250282,"TBC1D17",0.1473484384563,0.99999999892378,1.43139011621779,"no"
