"","protein","cor","p_value"
"ALDH1A2","ALDH1A2",0.138317021736411,0.466052386225143
"TPPP","TPPP",-0.0312065705790318,0.848403702300099
"LTN1","LTN1",0.0526492981867735,0.774741450868245
"TOMM70","TOMM70",-0.0437846926824446,0.777783267574361
"UFL1","UFL1",-0.265936673849026,0.141249751854638
"SUN1","SUN1",0.0605991031197109,0.695977290360935
"PLPBP","PLPBP",0.0293069098652679,0.85021504608268
"ERLIN2","ERLIN2",0.0133379590141267,0.9315214771871
"PRPF6","PRPF6",0.20712667773503,0.193811221163502
"ENDOD1","ENDOD1",0.0687930746667298,0.657251392816769
"GLS","GLS",0.14574495929927,0.351055445036249
"USP19","USP19",-0.273633016524615,0.217866955940952
"AP2A2","AP2A2",-0.092562331581278,0.550107829652296
"SEC31A","SEC31A",0.0393953265648335,0.799576988153003
"NDUFB6","NDUFB6",-0.0609210694691737,0.694440323576319
"MFN2","MFN2",0.106626344638912,0.490895272051882
"GABARAP","GABARAP",0.0893459409474695,0.588579743007543
"NDUFA3","NDUFA3",0.00905026235859825,0.953505248173884
"NDUFB4","NDUFB4",-0.00796691973154895,0.959065775787814
"NDUFB8","NDUFB8",-0.0141948294313231,0.927133662919907
"NDUFA7","NDUFA7",0.0389573612104338,0.801760111472009
"VAMP5","VAMP5",0.118090245096183,0.468004074955457
"RTN3","RTN3",0.21908798824527,0.15304614951806
"LETM1","LETM1",-0.0587149471742497,0.704995630306333
"STBD1","STBD1",0.211185782675121,0.168791439211452
"ZRANB2","ZRANB2",-0.0971559058494591,0.535396314765038
"ATE1","ATE1",0.155448648158048,0.331801517685121
"EPM2A","EPM2A",0.268204038164414,0.0783641744255769
"VAPB","VAPB",0.156624776214329,0.309960193538815
"NDUFC2","NDUFC2",-0.0570211968891059,0.713136898467799
"NDUFA10","NDUFA10",0.0300271549571942,0.846577473178791
"FKBP9","FKBP9",-0.258445907644375,0.316544080387997
"PGLS","PGLS",-0.218933777591607,0.153342732043475
"ATG7","ATG7",-0.142404401204444,0.400471898945008
"TACC2","TACC2",0.0113427131701246,0.941746177609532
"LYPLA2","LYPLA2",-0.0545294713904592,0.725170985329765
"IPO7","IPO7",0.0602237178311209,0.697770782802895
"ARIH2","ARIH2",-0.00620699979712108,0.96810298377727
"PGM3","PGM3",0.0309161615767143,0.842091925048357
